"","RunCode","RunName","StationNumber","SAM_Code","Datetime","QST_NAME","SamplingDate"
"480","ES1114B0073","Lisbon Weir - Nutrient and Phyto","B9D82851352","ES1114B0579",2014-11-06 10:17:00,"Toe Drain YB LISBON",2014-11-06
"481","ES1114B0073","Lisbon Weir - Nutrient and Phyto","B9D82851352","ES1114B0581",2014-11-06 10:17:00,"Toe Drain YB LISBON",2014-11-06
"482","ESF0212B0034","Yolo Bypass 2012","A0L842113851","ESF0212B0321",2012-02-09 12:00:00,"Knaggs Ranch - Inlet",2012-02-09
"483","ESF0212B0034","Yolo Bypass 2012","A0L842113852","ESF0212B0322",2012-02-09 10:50:00,"Knaggs Ranch - Oulet",2012-02-09
"484","ESF0212B0034","Yolo Bypass 2012","A0L842113851","ESF0212B0323",2012-02-09 12:00:00,"Knaggs Ranch - Inlet",2012-02-09
"485","ESF0212B0034","Yolo Bypass 2012","A0L842113852","ESF0212B0324",2012-02-09 10:50:00,"Knaggs Ranch - Oulet",2012-02-09
"486","ESF0212B0035","Yolo Bypass 2012","A0L842113851","ESF0212B0325",2012-02-16 12:40:00,"Knaggs Ranch - Inlet",2012-02-16
"487","ESF0212B0035","Yolo Bypass 2012","A0L842113852","ESF0212B0326",2012-02-16 11:15:00,"Knaggs Ranch - Oulet",2012-02-16
"488","ESF0212B0035","Yolo Bypass 2012","A0L842113851","ESF0212B0327",2012-02-16 12:40:00,"Knaggs Ranch - Inlet",2012-02-16
"489","ESF0212B0035","Yolo Bypass 2012","A0L842113852","ESF0212B0328",2012-02-16 11:15:00,"Knaggs Ranch - Oulet",2012-02-16
"490","ESF0212B0037","Yolo Bypass 2012","A0L842113851","ESF0212B0333",2012-02-22 11:20:00,"Knaggs Ranch - Inlet",2012-02-22
"491","ESF0212B0037","Yolo Bypass 2012","A0L842113852","ESF0212B0334",2012-02-22 12:20:00,"Knaggs Ranch - Oulet",2012-02-22
"492","ESF0212B0038","Yolo Bypass 2012","A0L842113851","ESF0212B0337",2012-02-29 12:15:00,"Knaggs Ranch - Inlet",2012-02-29
"493","ESF0212B0038","Yolo Bypass 2012","A0L842113852","ESF0212B0338",2012-02-29 11:15:00,"Knaggs Ranch - Oulet",2012-02-29
"494","ESF0312B0039","Yolo Bypass 2012","A0L842113851","ESF0312B0341",2012-03-08 11:00:00,"Knaggs Ranch - Inlet",2012-03-08
"495","ESF0312B0039","Yolo Bypass 2012","A0L842113852","ESF0312B0342",2012-03-08 12:00:00,"Knaggs Ranch - Oulet",2012-03-08
"496","ESF0312B0039","Yolo Bypass 2012","A0L842113851","ESF0312B0345",2012-03-08 11:00:00,"Knaggs Ranch - Inlet",2012-03-08
"497","ESF0312B0039","Yolo Bypass 2012","A0L842113852","ESF0312B0346",2012-03-08 12:00:00,"Knaggs Ranch - Oulet",2012-03-08
"498","ESF0212B0038","Yolo Bypass 2012","A0L842113851","ESF0312B0349",2012-02-29 12:15:00,"Knaggs Ranch - Inlet",2012-02-29
"499","ESF0212B0038","Yolo Bypass 2012","A0L842113852","ESF0312B0350",2012-02-29 11:15:00,"Knaggs Ranch - Oulet",2012-02-29
"500","ESF0212B0037","Yolo Bypass 2012","A0L842113851","ESF0312B0353",2012-02-22 11:20:00,"Knaggs Ranch - Inlet",2012-02-22
"501","ESF0212B0037","Yolo Bypass 2012","A0L842113852","ESF0312B0354",2012-02-22 12:20:00,"Knaggs Ranch - Oulet",2012-02-22
"502","ESF0912B0001","Yolo Bypass 2012","A0L842113852","ESF0912B0001",2012-09-04 17:00:00,"Knaggs Ranch - Oulet",2012-09-04
"503","ESF0912B0001","Yolo Bypass 2012","J06179704281767","ESF0912B0002",2012-09-04 17:06:00,"Tule Canal@ Rd 22",2012-09-04
"504","ESF0912B0001","Yolo Bypass 2012","A0D83441350","ESF0912B0003",2012-09-04 17:34:00,"Toe Drain@ I-80",2012-09-04
"505","ESF0912B0001","Yolo Bypass 2012","B9D82851352","ESF0912B0004",2012-09-04 18:00:00,"Toe Drain YB LISBON",2012-09-04
"506","ESF0912B0001","Yolo Bypass 2012","A0D82691360","ESF0912B0005",2012-09-04 18:16:00,"Toe Drain Bl YWA",2012-09-04
"507","ESF0912B0001","Yolo Bypass 2012","B9D81431410","ESF0912B0006",2012-09-04 12:45:00,"Liberty Is @ Base",2012-09-04
"508","ESF0912B0001","Yolo Bypass 2012","B9D81651399","ESF0912B0007",2012-09-04 12:56:00,"BL5 -Below Toe Drain",2012-09-04
"509","ESF0912B0001","Yolo Bypass 2012","A0D82120386","ESF0912B0008",2012-09-04 13:15:00,"Toe Drain at STTD",2012-09-04
"510","ESF0912B0001","Yolo Bypass 2012","B9D81651399","ESF0912B0010",2012-09-04 12:56:00,"BL5 -Below Toe Drain",2012-09-04
"511","ESF0912B0001","Yolo Bypass 2012","(UserDefined)","ESF0912B0020",2012-09-04 12:24:00,"(User Defined)",2012-09-04
"512","ESF0912B0001","Yolo Bypass 2012","B9D80951412","ESF0912B0021",2012-09-04 12:11:00,"D24A",2012-09-04
"513","ESF0912B0003","Yolo Bypass 2012","B9D80951412","ESF0912B0022",2012-09-07 08:15:00,"D24A",2012-09-07
"514","ESF0912B0003","Yolo Bypass 2012","(UserDefined)","ESF0912B0023",2012-09-07 08:28:00,"(User Defined)",2012-09-07
"515","ESF0912B0003","Yolo Bypass 2012","(UserDefined)","ESF0912B0024",2012-09-07 08:43:00,"(User Defined)",2012-09-07
"516","ESF0912B0003","Yolo Bypass 2012","B9D81431410","ESF0912B0025",2012-09-07 08:55:00,"Liberty Is @ Base",2012-09-07
"517","ESF0912B0003","Yolo Bypass 2012","B9D81651399","ESF0912B0030",2012-09-07 09:15:00,"BL5 -Below Toe Drain",2012-09-07
"518","ESF0912B0003","Yolo Bypass 2012","A0D82120386","ESF0912B0031",2012-09-07 09:30:00,"Toe Drain at STTD",2012-09-07
"519","ESF0912B0003","Yolo Bypass 2012","A0D82691360","ESF0912B0032",2012-09-07 09:45:00,"Toe Drain Bl YWA",2012-09-07
"520","ESF0912B0003","Yolo Bypass 2012","B9D82851352","ESF0912B0033",2012-09-07 09:55:00,"Toe Drain YB LISBON",2012-09-07
"521","ESF0912B0003","Yolo Bypass 2012","A0D83441350","ESF0912B0034",2012-09-07 15:20:00,"Toe Drain@ I-80",2012-09-07
"522","ESF0912B0003","Yolo Bypass 2012","J06179704281767","ESF0912B0035",2012-09-07 15:57:00,"Tule Canal@ Rd 22",2012-09-07
"523","ESF0912B0003","Yolo Bypass 2012","A0L842113852","ESF0912B0036",2012-09-07 16:47:00,"Knaggs Ranch - Oulet",2012-09-07
"524","ESF0912B0003","Yolo Bypass 2012","B9D82851352","ESF0912B0037",2012-09-07 09:55:00,"Toe Drain YB LISBON",2012-09-07
"525","ESF0912B0005","Yolo Bypass 2012","B9D80951412","ESF0912B0038",2012-09-11 08:55:00,"D24A",2012-09-11
"526","ESF0912B0005","Yolo Bypass 2012","(UserDefined)","ESF0912B0039",2012-09-11 09:07:00,"(User Defined)",2012-09-11
"527","ESF0912B0005","Yolo Bypass 2012","(UserDefined)","ESF0912B0040",2012-09-11 09:18:00,"(User Defined)",2012-09-11
"528","ESF0912B0005","Yolo Bypass 2012","B9D81431410","ESF0912B0041",2012-09-11 09:25:00,"Liberty Is @ Base",2012-09-11
"529","ESF0912B0005","Yolo Bypass 2012","B9D81651399","ESF0912B0042",2012-09-11 09:40:00,"BL5 -Below Toe Drain",2012-09-11
"530","ESF0912B0005","Yolo Bypass 2012","A0D82120386","ESF0912B0043",2012-09-11 09:55:00,"Toe Drain at STTD",2012-09-11
"531","ESF0912B0005","Yolo Bypass 2012","A0D82691360","ESF0912B0044",2012-09-11 10:20:00,"Toe Drain Bl YWA",2012-09-11
"532","ESF0912B0005","Yolo Bypass 2012","B9D82851352","ESF0912B0045",2012-09-11 10:30:00,"Toe Drain YB LISBON",2012-09-11
"533","ESF0912B0005","Yolo Bypass 2012","A0D83441350","ESF0912B0046",2012-09-11 14:30:00,"Toe Drain@ I-80",2012-09-11
"534","ESF0912B0005","Yolo Bypass 2012","J06179704281767","ESF0912B0047",2012-09-11 15:10:00,"Tule Canal@ Rd 22",2012-09-11
"535","ESF0912B0005","Yolo Bypass 2012","A0L842113852","ESF0912B0048",2012-09-11 15:50:00,"Knaggs Ranch - Oulet",2012-09-11
"536","ESF0912B0005","Yolo Bypass 2012","B9D80951412","ESF0912B0049",2012-09-11 08:55:00,"D24A",2012-09-11
"537","ESF0912B0007","Yolo Bypass - Fall Study","B9D80951412","ESF0912B0062",2012-09-14 08:03:00,"D24A",2012-09-14
"538","ESF0912B0007","Yolo Bypass - Fall Study","(UserDefined)","ESF0912B0063",2012-09-14 08:15:00,"(User Defined)",2012-09-14
"539","ESF0912B0007","Yolo Bypass - Fall Study","(UserDefined)","ESF0912B0064",2012-09-14 08:22:00,"(User Defined)",2012-09-14
"540","ESF0912B0007","Yolo Bypass - Fall Study","B9D81431410","ESF0912B0065",2012-09-14 08:28:00,"Liberty Is @ Base",2012-09-14
"541","ESF0912B0007","Yolo Bypass - Fall Study","B9D81651399","ESF0912B0066",2012-09-14 08:40:00,"BL5 -Below Toe Drain",2012-09-14
"542","ESF0912B0007","Yolo Bypass - Fall Study","A0D82120386","ESF0912B0067",2012-09-14 08:53:00,"Toe Drain at STTD",2012-09-14
"543","ESF0912B0007","Yolo Bypass - Fall Study","A0D82691360","ESF0912B0068",2012-09-14 09:07:00,"Toe Drain Bl YWA",2012-09-14
"544","ESF0912B0007","Yolo Bypass - Fall Study","B9D82851352","ESF0912B0069",2012-09-14 09:25:00,"Toe Drain YB LISBON",2012-09-14
"545","ESF0912B0007","Yolo Bypass - Fall Study","A0L842113852","ESF0912B0070",2012-09-14 17:32:00,"Knaggs Ranch - Oulet",2012-09-14
"546","ESF0912B0007","Yolo Bypass - Fall Study","J06179704281767","ESF0912B0071",2012-09-14 16:50:00,"Tule Canal@ Rd 22",2012-09-14
"547","ESF0912B0007","Yolo Bypass - Fall Study","A0D83441350","ESF0912B0072",2012-09-14 16:10:00,"Toe Drain@ I-80",2012-09-14
